total_return,cagr,max_drawdown,win_rate,profit_factor,total_trades,sharpe_ratio,avg_win,avg_loss,range_start_time,range_end_time,atr_sl,tp_ratio,mult,risk_per_trade,exit_eod,trailing_stop,take_partial,latest_entry_time
-3.8531251263283606,-21.27405844868425,-11.628989909153454,34.21052631578947,0.9175248701260657,76,-0.35313032152396456,1.6486732874773595,-0.9343726120147945,00:00:00,01:00:00,0.5,1.0,1.0,0.01,False,True,False,23:59:00
-6.379979979181383,-33.05669621551483,-12.492130997415565,33.78378378378378,0.8612544412823927,74,-0.8610107184968897,1.5841331839807196,-0.9384348893612109,00:00:00,01:00:00,0.5,1.0,1.0,0.01,False,True,False,20:00:00
-8.032649501772893,-39.935205354841905,-15.747568654147662,33.33333333333333,0.8184096922850976,72,-1.2411306717838382,1.5084317847379307,-0.9215627569892342,00:00:00,01:00:00,0.5,1.0,1.0,0.01,False,True,False,18:00:00
-9.053663591733653,-43.88164136444465,-22.0284195707583,34.21052631578947,0.898846881691106,76,-0.35313032152395973,3.0942645791164876,-1.7900908529752477,00:00:00,01:00:00,0.5,1.0,1.0,0.02,False,True,False,23:59:00
-13.6632236452491,-59.1123539373406,-24.00006535997071,33.78378378378378,0.8435052850508786,74,-0.8610107184968766,2.945786727518999,-1.7817937108821247,00:00:00,01:00:00,0.5,1.0,1.0,0.02,False,True,False,20:00:00
-16.61306152404708,-66.91095351367203,-29.503497619771117,33.33333333333333,0.798904363451292,72,-1.2411306717838506,2.74998660041191,-1.721098748623603,00:00:00,01:00:00,0.5,1.0,1.0,0.02,False,True,False,18:00:00
-15.315918173893495,-63.65092573684934,-31.922831829323183,34.21052631578947,0.8801909636772859,76,-0.35313032152396057,4.327698731392317,-2.5567217038018755,00:00:00,01:00:00,0.5,1.0,1.0,0.03,False,True,False,23:59:00
-21.5326772066727,-77.14831205969955,-34.47930640812262,33.78378378378378,0.8258715995727656,74,-0.8610107184968853,4.08508354159956,-2.523668688707382,00:00:00,01:00:00,0.5,1.0,1.0,0.03,False,True,False,20:00:00
-25.426556930974698,-83.23682468250225,-41.410834213590284,33.33333333333333,0.7793744618627776,72,-1.2411306717838533,3.7425421697963586,-2.4009910209601517,00:00:00,01:00:00,0.5,1.0,1.0,0.03,False,True,False,18:00:00
-13.477547335306983,-58.574123736784436,-15.405365188678664,30.666666666666664,0.7065106426995039,75,-2.489535923246119,1.410617868879178,-0.8831107369140021,00:00:00,01:00:00,0.5,1.0,1.5,0.01,False,True,False,23:59:00
-14.593407361137789,-61.721591631675956,-16.515297510728246,30.136986301369863,0.6757621892361921,73,-2.8955798015603738,1.382497181137021,-0.882516575414751,00:00:00,01:00:00,0.5,1.0,1.5,0.01,False,True,False,20:00:00
-16.067536002701488,-65.57105541433481,-19.464737291082773,29.577464788732392,0.6296247914008916,71,-3.4471533343037137,1.3006783094740098,-0.867635610033113,00:00:00,01:00:00,0.5,1.0,1.5,0.01,False,True,False,18:00:00
-26.09622691458694,-84.1325186269013,-28.89488265802177,30.666666666666664,0.6917182846353034,75,-2.489535923246124,2.5458415662126153,-1.627895825720714,00:00:00,01:00:00,0.5,1.0,1.5,0.02,False,True,False,23:59:00
-27.929990701014297,-86.38301389960262,-30.844860742467183,30.136986301369863,0.6625654854641735,73,-2.8955798015603973,2.492799888929211,-1.6229723187736655,00:00:00,01:00:00,0.5,1.0,1.5,0.02,False,True,False,20:00:00
-30.338179559687063,-88.92787542118879,-35.52306513175091,29.577464788732392,0.614208420572493,71,-3.4471533343037244,2.3000286441428703,-1.572775621733747,00:00:00,01:00:00,0.5,1.0,1.5,0.02,False,True,False,18:00:00
-37.66236762294205,-94.36955821660467,-40.60899524044505,30.666666666666664,0.6771031951706196,75,-2.489535923246143,3.433767595172989,-2.2430581213830925,00:00:00,01:00:00,0.5,1.0,1.5,0.03,False,True,False,23:59:00
-39.895767526575895,-95.4909554516514,-43.153538063478486,30.136986301369863,0.6496066154888445,73,-2.895579801560395,3.362007552976452,-2.2325477194521146,00:00:00,01:00:00,0.5,1.0,1.5,0.03,False,True,False,20:00:00
-42.81338911537136,-96.66934682252617,-48.680468669444664,29.577464788732392,0.5991634071973183,71,-3.44715333430372,3.0474615385534336,-2.13620162849987,00:00:00,01:00:00,0.5,1.0,1.5,0.03,False,True,False,18:00:00
