,Open,High,Low,Close,Volume,Dividends,Stock Splits,Last_Candle,ATR,Open_Range_High,Open_Range_Low,Hour,Breakout_Above,Open_Range_Width,Strat_Signal,SL,TP,Strat_Ret,Strat_Trade,Strat_Duration,Strat_PnL,Strat_Balance,Strat_Entry_Price,Strat_Bal,Strat_Equity,Strat_In_Market,Strat_Peak,Strat_DD
2025-07-21 13:00:00-04:00,117843.6875,118109.4453125,117426.328125,117906.921875,0,0.0,0.0,False,,,,13,,,False,,,1.0,,,,,,100.0,100.0,,100.0,0.0
2025-07-21 14:00:00-04:00,117894.078125,118190.1171875,117197.4921875,117209.3203125,161726464,0.0,0.0,False,,,,14,,,False,,,1.0,,,,,,100.0,100.0,,100.0,0.0
2025-07-21 15:00:00-04:00,117173.8515625,117511.1953125,116729.4453125,116856.4921875,1014407168,0.0,0.0,False,,,,15,,,False,,,1.0,,,,,,100.0,100.0,,100.0,0.0
2025-07-21 16:00:00-04:00,116762.4375,117279.015625,116758.1640625,117016.5859375,1413423104,0.0,0.0,False,,,,16,,,False,,,1.0,,,,,,100.0,100.0,,100.0,0.0
2025-07-21 17:00:00-04:00,116972.703125,117429.484375,116939.1875,117278.2578125,1283432448,0.0,0.0,False,,,,17,,,False,,,1.0,,,,,,100.0,100.0,,100.0,0.0
2025-07-21 18:00:00-04:00,117278.3046875,117657.5859375,117223.4609375,117439.578125,0,0.0,0.0,False,,,,18,,,False,,,1.0,,,,,,100.0,100.0,,100.0,0.0
2025-07-21 19:00:00-04:00,117439.3046875,117525.0546875,117195.7890625,117456.6015625,0,0.0,0.0,False,,,,19,,,False,,,1.0,,,,,,100.0,100.0,,100.0,0.0
2025-07-21 20:00:00-04:00,117419.6484375,117538.984375,117108.828125,117171.0546875,0,0.0,0.0,False,,,,20,,,False,,,1.0,,,,,,100.0,100.0,,100.0,0.0
2025-07-21 21:00:00-04:00,117163.0390625,117957.78125,116342.7890625,117838.84375,2470969344,0.0,0.0,False,,,,21,,,False,,,1.0,,,,,,100.0,100.0,,100.0,0.0
2025-07-21 22:00:00-04:00,117804.4609375,117835.8359375,117041.953125,117041.953125,0,0.0,0.0,False,,,,22,,,False,,,1.0,,,,,,100.0,100.0,,100.0,0.0
2025-07-21 23:00:00-04:00,117081.5078125,117256.484375,116751.0625,117207.8984375,0,0.0,0.0,True,,,,23,,,False,,,1.0,,,,,,100.0,100.0,,100.0,0.0
2025-07-22 00:00:00-04:00,117237.3828125,117346.7734375,116747.53125,116747.53125,2373304320,0.0,0.0,False,,117346.7734375,116747.53125,0,-599.2421875,599.2421875,False,116747.53125,117972.16015625,1.0,,,,,,100.0,100.0,,100.0,0.0
2025-07-22 01:00:00-04:00,116639.5,117364.421875,116639.5,117328.234375,1721155584,0.0,0.0,False,,117346.7734375,116747.53125,1,-18.5390625,599.2421875,False,116747.53125,116477.453125,1.0,,,,,,100.0,100.0,,100.0,0.0
2025-07-22 02:00:00-04:00,117331.03125,117827.4765625,117331.03125,117827.4765625,0,0.0,0.0,False,,117346.7734375,116747.53125,2,480.703125,599.2421875,False,116747.53125,118206.28125,1.0,,,,,,100.0,100.0,,100.0,0.0
2025-07-22 03:00:00-04:00,117848.9375,118593.4140625,117848.9375,117924.3046875,1129889792,0.0,0.0,False,677.1153298703131,117346.7734375,116747.53125,3,577.53125,599.2421875,False,116747.53125,119501.046875,1.0,,,,,,100.0,100.0,,100.0,0.0
2025-07-22 04:00:00-04:00,117970.9375,118318.421875,117588.6953125,118308.3515625,1480835072,0.0,0.0,False,682.7160583645908,117346.7734375,116747.53125,4,961.578125,599.2421875,False,116747.53125,119806.046875,1.0,,,,,,100.0,100.0,,100.0,0.0
