total_return,cagr,max_drawdown,win_rate,profit_factor,total_trades,sharpe_ratio,avg_win,avg_loss,range_start_time,range_end_time,atr_sl,tp_ratio,mult,risk_per_trade,exit_eod,trailing_stop,take_partial,latest_entry_time
9.566746029883522,74.3991948013522,-3.9600000000000026,40.0,1.7289622777372535,10,6.298143537023541,5.67263338293175,-2.187297916973913,00:00:00,13:00:00,1.0,2.5,1.0,0.02,False,True,False,18:00:00
9.566746029883522,74.3991948013522,-3.9600000000000026,40.0,1.7289622777372535,10,6.298143537023541,5.67263338293175,-2.187297916973913,00:00:00,13:00:00,1.0,3.0,1.0,0.02,False,True,False,18:00:00
9.566746029883522,74.3991948013522,-3.9600000000000026,40.0,1.7289622777372535,10,6.298143537023541,5.67263338293175,-2.187297916973913,00:00:00,13:00:00,2.0,2.5,1.0,0.02,False,True,False,18:00:00
9.566746029883522,74.3991948013522,-3.9600000000000026,40.0,1.7289622777372535,10,6.298143537023541,5.67263338293175,-2.187297916973913,00:00:00,13:00:00,0.5,2.5,1.0,0.02,False,True,False,18:00:00
9.566746029883522,74.3991948013522,-3.9600000000000026,40.0,1.7289622777372535,10,6.298143537023541,5.67263338293175,-2.187297916973913,00:00:00,13:00:00,1.5,3.0,1.0,0.02,False,True,False,18:00:00
9.566746029883522,74.3991948013522,-3.9600000000000026,40.0,1.7289622777372535,10,6.298143537023541,5.67263338293175,-2.187297916973913,00:00:00,13:00:00,1.5,2.5,1.0,0.02,False,True,False,18:00:00
9.566746029883522,74.3991948013522,-3.9600000000000026,40.0,1.7289622777372535,10,6.298143537023541,5.67263338293175,-2.187297916973913,00:00:00,13:00:00,0.5,3.0,1.0,0.02,False,True,False,18:00:00
9.566746029883522,74.3991948013522,-3.9600000000000026,40.0,1.7289622777372535,10,6.298143537023541,5.67263338293175,-2.187297916973913,00:00:00,13:00:00,2.0,3.0,1.0,0.02,False,True,False,18:00:00
14.100171685469043,123.21857866317868,-5.910000000000004,40.0,1.6867748205722275,10,6.298143537023533,8.657792136648851,-3.4218328101877287,00:00:00,13:00:00,0.5,3.0,1.0,0.03,False,True,False,18:00:00
14.100171685469043,123.21857866317868,-5.910000000000004,40.0,1.6867748205722275,10,6.298143537023533,8.657792136648851,-3.4218328101877287,00:00:00,13:00:00,1.5,3.0,1.0,0.03,False,True,False,18:00:00
